symbol,side,news,price
EXPE,S,50,119.495
FAST,S,50,51.3575
FB,S,50,133.387778
FISV,S,50,101.453333
FOX,S,50,30.34
FOXA,S,50,29.871667
GILD,S,50,73.953333
GOOG,S,50,792.035
GOOGL,S,50,815.12
HSIC,S,50,160.365
ILMN,S,50,162.634
INCY,S,50,127.984
INTC,S,50,34.7
INTU,S,50,117.786
ISRG,S,50,697.66
AAL,S,100,42.137778
AAPL,S,100,127.3875
ADBE,S,100,111.85
ADI,S,100,75.426667
ADP,S,100,96.485
ADSK,S,100,81.352857
AKAM,S,100,71.2075
ALXN,S,100,132.415
AMAT,S,100,33.694
AMGN,S,100,160.143333
AMZN,S,100,832.55
ATVI,S,100,37.1675
AVGO,S,100,206.196667
BBBY,S,100,40.36
BIDU,S,100,174.006667
BIIB,S,100,282.805
BMRN,S,100,84.066667
CA,S,100,33.493333
CELG,S,100,118.246
CERN,S,100,56.751667
CHKP,S,100,98.276667
CHTR,S,100,324.4725
CMCSA,S,100,76.989
COST,S,100,161.606667
CSCO,S,100,34.742
CSX,S,100,44.1275
CTRP,S,100,47.361667
CTSH,S,100,52.64
CTXS,S,100,70.438571
DISCA,S,100,31.151667
DISCK,S,100,26.065
DISH,S,100,66.43
DLTR,S,100,0
EA,S,100,81.51
EBAY,S,100,32.39
ESRX,S,100,69.17875
EXPE,S,100,120.358
FAST,S,100,51.37
FB,S,100,135.2075
FISV,S,100,105.71
FOX,S,100,27.491667
FOXA,S,100,30.88
GILD,S,100,72.903333
GOOG,S,100,794.544286
GOOGL,S,100,815.46
HSIC,S,100,160.15
ILMN,S,100,162.2325
INCY,S,100,127.903333
INTC,S,100,36.54
INTU,S,100,119.856
ISRG,S,100,697.13
